Timestamp,Gender,Year,FinAid,Sports,Orientation,Race,Religion,Conc,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Notes,Location,Day,Initials
10/1/2013 13:12:12,Male,Senior,None,No,Heterosexual,White,Atheist,Social sciences,No opinion,Somewhat disapprove,A significant role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",30-34,Once a day,"Yes, but I am not or do not plan to",Somewhat disapprove,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:12:17,Female,First-year,"Grants, covering some costs",Yes,Heterosexual,"White, Black",Agnostic,Social sciences,No opinion,No opinion,A small role,None of the above,"University grants and scholarships, Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,I have never masturbated,"No, and for that reason, I am not or do not plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:15:35,Male,First-year,None,No,Heterosexual,Asian,Buddhist,"Physical sciences (incl. math, CS)",Somewhat agree,Somewhat disapprove,No role,None of the above,My parents' income and savings,"No, I do not support converting any bathrooms",25-29,Once a day,"Yes, and I am or plan to",Somewhat approve,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:16:45,Male,Senior,Grants and loans,No,Heterosexual,White,Atheist,"Physical sciences (incl. math, CS)",Somewhat agree,Somewhat disapprove,A small role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, My own income and savings, Non-parental relatives' and friends' contributions","Yes, I support converting some bathrooms",25-29,Once or twice a month,"Yes, and I am or plan to",Somewhat disapprove,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:17:01,Male,First-year,None,No,Heterosexual,Asian,Other religion,"Life sciences, Physical sciences (incl. math, CS)",Somewhat disagree,No opinion,A small role,,"My parents' income and savings, My own income and savings","Yes, I support converting all bathrooms",25-29,Once or twice a week,,I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:17:45,Female,First-year,Grants and loans,Yes,,White,Catholic,Humanities/arts,No opinion,Somewhat approve,A small role,None of the above,"University grants and scholarships, Federal loans, Non-University grants and scholarships, My parents' income and savings","Yes, I support converting some bathrooms",30-34,I have never masturbated,"Yes, but I am not sure if I will",Somewhat approve,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:19:04,Male,Junior,None,No,Heterosexual,Asian,Other religion,"Physical sciences (incl. math, CS)",Strongly agree,No opinion,A small role,None of the above,None of the above,"Yes, I support converting some bathrooms",25-29,I have never masturbated,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:19:22,Male,Sophomore,Grants and loans,No,Heterosexual,Asian,Buddhist,"Physical sciences (incl. math, CS)",Somewhat agree,Somewhat approve,A moderate role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Once or twice a week,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:20:07,Male,Junior,None,Yes,Heterosexual,White,Other Christian,Life sciences,Somewhat disagree,No opinion,A small role,None of the above,My parents' income and savings,"No, I do not support converting any bathrooms",30-34,Once or twice a week,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:21:58,Female,Sophomore,None,No,Heterosexual,White,Jewish,Social sciences,Strongly agree,No opinion,A small role,None of the above,"My parents' income and savings, Non-parental relatives' and friends' contributions","Yes, I support converting some bathrooms",25-29,I have never masturbated,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:22:29,Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Hispanic,Protestant,Humanities/arts,Strongly disagree,No opinion,A significant role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,Less than once a month,"No, and for that reason, I am not or do not plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:23:05,Male,Junior,Grants and loans,No,Homosexual,"White, Asian",Protestant,"Physical sciences (incl. math, CS)",No opinion,No opinion,A moderate role,None of the above,"Non-University grants and scholarships, My parents' income and savings, I borrow money from outside sources","Yes, I support converting all bathrooms",Not sure,Three to five times a week,"Yes, and I am or plan to",Somewhat approve,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:24:28,Male,Sophomore,"Grants, covering all costs",No,Homosexual,Asian,Atheist,"Social sciences, Physical sciences (incl. math, CS)",Somewhat disagree,No opinion,A moderate role,None of the above,"University grants and scholarships, Non-University grants and scholarships, My parents' income and savings","Yes, I support converting some bathrooms",Not sure,,"Yes, but I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:24:51,Female,Senior,None,No,Heterosexual,White,Catholic,"Humanities/arts, Physical sciences (incl. math, CS)",No opinion,Somewhat approve,No role,None of the above,My parents' income and savings,"No, I do not support converting any bathrooms",35-39,,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:25:31,Female,Senior,Grants and loans,No,Heterosexual,Black,Other Christian,Social sciences,Not familiar enough to answer,Somewhat approve,A moderate role,None of the above,"University grants and scholarships, My parents' income and savings","Yes, I support converting some bathrooms",30-34,I have never masturbated,"Yes, but I am not or do not plan to",Somewhat approve,Strongly approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:27:29,Female,Junior,"Grants, covering some costs",No,Heterosexual,White,Other Christian,"Physical sciences (incl. math, CS)",Somewhat agree,Strongly approve,A moderate role,"Anxiety, Obsessive-compulsive disorder, Another mental health condition","University grants and scholarships, Federal loans, My own income and savings","Yes, I support converting some bathrooms",25-29,I have never masturbated,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:28:12,Male,First-year,Grants and loans,Yes,Heterosexual,Black,Other Christian,Social sciences,No opinion,Somewhat approve,A moderate role,None of the above,"University grants and scholarships, Federal loans, Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting all bathrooms",25-29,Once or twice a month,,I am aware of the plan but do not know enough to have an opinion,,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:28:34,Female,First-year,Grants and loans,No,Heterosexual,White,Agnostic,Humanities/arts,Strongly agree,No opinion,No role,None of the above,"University grants and scholarships, Federal loans, Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting all bathrooms",25-29,Less than once a month,"Yes, but I am not or do not plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:29:32,Male,First-year,None,No,,Asian,Hindu,"Physical sciences (incl. math, CS)",Not familiar enough to answer,Somewhat approve,A moderate role,None of the above,My parents' income and savings,"Yes, I support converting some bathrooms",25-29,More than once a day,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:31:24,Female,Senior,None,No,Other,Asian,Agnostic,Humanities/arts,No opinion,No opinion,A small role,None of the above,"Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Once or twice a week,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:32:29,Female,First-year,"Grants, covering all costs",No,Heterosexual,Asian,Other religion,Life sciences,No opinion,Strongly approve,A moderate role,None of the above,"University grants and scholarships, Non-University grants and scholarships","Yes, I support converting some bathrooms",25-29,Less than once a month,"Yes, but I am not sure if I will",Somewhat approve,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:32:35,Female,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Atheist,"Humanities/arts, Life sciences",Strongly agree,Somewhat approve,A moderate role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,I have never masturbated,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:33:54,Male,Senior,None,No,Heterosexual,White,Agnostic,Social sciences,No opinion,No opinion,A small role,None of the above,"My parents borrow money from outside sources, I do not know if I use any of the above","Yes, I support converting some bathrooms",25-29,Three to five times a week,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,Somewhat disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:34:53,Male,First-year,None,Yes,Heterosexual,White,Protestant,"Life sciences, Physical sciences (incl. math, CS)",Somewhat disagree,No opinion,No role,None of the above,None of the above,Don't know,25-29,Once or twice a week,"Yes, and I am or plan to",Somewhat approve,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:35:27,Male,Junior,"Grants, covering some costs",No,Heterosexual,White,Jewish,Social sciences,Somewhat agree,No opinion,A small role,None of the above,"Federal loans, My parents' income and savings","Yes, I support converting some bathrooms",30-34,Once or twice a week,"Yes, but I am not or do not plan to",Somewhat disapprove,Somewhat approve,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:35:55,Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,Atheist,"Physical sciences (incl. math, CS)",Not familiar enough to answer,No opinion,No role,None of the above,University grants and scholarships,"Yes, I support converting all bathrooms",25-29,Once a day,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:36:59,Female,Sophomore,,No,Other,Asian,Atheist,Humanities/arts,Strongly agree,No opinion,A small role,None of the above,"University grants and scholarships, Federal loans, Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",Not sure,Once or twice a week,"Yes, but I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:37:48,Female,Senior,None,No,Heterosexual,Asian,Protestant,Humanities/arts,No opinion,No opinion,A moderate role,None of the above,"My parents' income and savings, My own income and savings","No, I do not support converting any bathrooms",25-29,I have never masturbated,"No, and for that reason, I am not or do not plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:38:57,Female,First-year,None,No,Heterosexual,Asian,,"Social sciences, Physical sciences (incl. math, CS)",No opinion,No opinion,A moderate role,None of the above,"Non-University grants and scholarships, My parents' income and savings, My own income and savings, I borrow money from outside sources, My parents borrow money from outside sources","Yes, I support converting some bathrooms",30-34,Once or twice a week,"No, but I am or plan to",I have not heard of the strategic plan,No opinion,"Drew a frowning face next to the question about ""What type of financial aid do you receive from Brown?"" and specified the concentration as econ and applied math",J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:39:31,Male,Senior,None,No,Heterosexual,White,Catholic,"Social sciences, Physical sciences (incl. math, CS)",No opinion,Somewhat disapprove,A small role,None of the above,My parents' income and savings,Don't know,30-34,,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Strongly disapprove,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:41:39,Male,Sophomore,None,No,Heterosexual,White,Buddhist,Social sciences,Strongly disagree,No opinion,A moderate role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,Once or twice a week,"Yes, but I am not sure if I will",Somewhat approve,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:42:28,Female,First-year,None,No,Heterosexual,White,Agnostic,"Physical sciences (incl. math, CS)",Somewhat disagree,Strongly approve,A small role,None of the above,None of the above,"Yes, I support converting all bathrooms",25-29,Once or twice a month,"Yes, and I am or plan to",Strongly approve,Somewhat approve,,Faunce,Day 2,IH
10/1/2013 13:42:42,Female,Sophomore,None,No,Heterosexual,White,Agnostic,"Physical sciences (incl. math, CS)",Strongly agree,Strongly approve,A small role,Anxiety,None of the above,"Yes, I support converting some bathrooms",,Less than once a month,"Yes, and I am or plan to",Strongly approve,I do not know what UCS is,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:44:15,Female,Sophomore,Just loans,No,Heterosexual,Other,Agnostic,"Physical sciences (incl. math, CS)",Strongly agree,No opinion,A moderate role,None of the above,"Federal loans, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,Once a day,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:44:55,Male,Junior,Just loans,No,Heterosexual,White,Agnostic,Social sciences,No opinion,No opinion,A moderate role,None of the above,"Federal loans, My parents' income and savings","Yes, I support converting some bathrooms",25-29,Three to five times a week,"No, and for that reason, I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:46:06,Male,Senior,None,,Homosexual,White,Atheist,Humanities/arts,Somewhat agree,Somewhat approve,A small role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Once or twice a week,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:46:46,Male,First-year,"Grants, covering some costs",No,Heterosexual,Black,Protestant,"Humanities/arts, Physical sciences (incl. math, CS)",Somewhat agree,Strongly approve,A small role,None of the above,"University grants and scholarships, Non-University grants and scholarships, My parents' income and savings","Yes, I support converting some bathrooms",25-29,Less than once a month,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,Faunce,Day 2,IH
10/1/2013 13:48:24,Male,Senior,Grants and loans,No,Heterosexual,White,Agnostic,"Physical sciences (incl. math, CS)",Not familiar enough to answer,Strongly approve,A small role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, I borrow money from outside sources",Don't know,Not sure,,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:48:38,Female,Junior,None,Yes,Heterosexual,White,Other religion,"Physical sciences (incl. math, CS)",No opinion,No opinion,No role,Anxiety,"My parents' income and savings, Non-parental relatives' and friends' contributions","Yes, I support converting some bathrooms",30-34,Once a day,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:48:47,Male,First-year,Just loans,No,Heterosexual,Asian,Buddhist,Life sciences,Somewhat agree,No opinion,A moderate role,None of the above,"Federal loans, My parents' income and savings, My own income and savings","No, I do not support converting any bathrooms",25-29,Once or twice a week,"Yes, but I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,Faunce,Day 2,IH
10/1/2013 13:50:32,,Senior,Grants and loans,No,Homosexual,White,Other religion,Humanities/arts,No opinion,No opinion,A moderate role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings","Yes, I support converting some bathrooms",25-29,Three to five times a week,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,Faunce,Day 2,IH
10/1/2013 13:51:35,Other,Junior,Grants and loans,No,Other,White,Other religion,Humanities/arts,Strongly agree,Somewhat disapprove,No role,None of the above,"University grants and scholarships, My parents' income and savings, My own income and savings, I borrow money from outside sources","Yes, I support converting all bathrooms",I don't intend to get married,Once or twice a week,"No, and I am not sure if I will",Strongly disapprove,Strongly disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:51:39,Male,First-year,None,No,Heterosexual,White,Atheist,Humanities/arts,Strongly disagree,Somewhat approve,A small role,None of the above,"Federal loans, My parents' income and savings, My own income and savings",Don't know,Not sure,Once or twice a week,"Yes, but I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:52:00,Male,Senior,None,No,Heterosexual,Asian,Hindu,Life sciences,Strongly agree,Somewhat approve,A significant role,,My parents' income and savings,"Yes, I support converting some bathrooms",25-29,Once or twice a week,"Yes, and I am or plan to",Somewhat approve,Somewhat approve,,Faunce,Day 2,IH
10/1/2013 13:52:41,Other,Senior,"Grants, covering all costs",No,Homosexual,Hispanic,Other religion,Humanities/arts,Strongly agree,,No role,None of the above,University grants and scholarships,"Yes, I support converting all bathrooms",40 or older,Once or twice a month,"No, and I would not have wanted to even if I felt more prepared",Somewhat disapprove,Strongly disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:53:16,Female,Senior,Grants and loans,No,Heterosexual,White,Other religion,Life sciences,Strongly agree,Somewhat approve,A moderate role,None of the above,"University grants and scholarships, Federal loans, Non-University grants and scholarships, My own income and savings","Yes, I support converting some bathrooms",25-29,Once or twice a week,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Strongly approve,,Faunce,Day 2,IH
10/1/2013 13:54:29,Female,Senior,"Grants, covering all costs",No,Heterosexual,Asian,Muslim,Life sciences,Somewhat disagree,Somewhat approve,A small role,"Depression, Anxiety","University grants and scholarships, Federal loans, My own income and savings","Yes, I support converting all bathrooms",25-29,Less than once a month,"No, but I am or plan to",Somewhat approve,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:54:36,Female,Senior,"Grants, covering some costs",No,Heterosexual,White,Catholic,Humanities/arts,Somewhat disagree,Somewhat approve,A small role,"Depression, Anxiety","University grants and scholarships, Non-University grants and scholarships, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Less than once a month,"No, and for that reason, I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:54:59,Male,Sophomore,None,No,Heterosexual,White,Other religion,Humanities/arts,Somewhat disagree,No opinion,A moderate role,,Non-parental relatives' and friends' contributions,"No, I do not support converting any bathrooms",25-29,,"Yes, but I am not or do not plan to",I have not heard of the strategic plan,No opinion,,Faunce,Day 2,IH
10/1/2013 13:55:38,Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Atheist,"Physical sciences (incl. math, CS)",Somewhat disagree,Somewhat approve,A small role,None of the above,Non-University grants and scholarships,"Yes, I support converting all bathrooms",30-34,I have never masturbated,"Yes, and I am or plan to",Somewhat approve,Strongly disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:56:04,Female,First-year,None,No,Heterosexual,White,Atheist,Humanities/arts,No opinion,Somewhat approve,A small role,None of the above,My parents' income and savings,"Yes, I support converting all bathrooms",25-29,I have never masturbated,"No, and I am not sure if I will",Somewhat approve,No opinion,,Faunce,Day 2,IH
10/1/2013 13:56:38,Male,Junior,None,No,Heterosexual,White,Other religion,"Physical sciences (incl. math, CS)",Strongly disagree,Somewhat approve,A moderate role,None of the above,My parents' income and savings,Don't know,Not sure,Three to five times a week,"Yes, and I am or plan to",Strongly approve,Somewhat approve,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:57:21,Female,Senior,None,No,Heterosexual,White,Jewish,Humanities/arts,Somewhat agree,No opinion,A moderate role,,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Once or twice a month,"No, and I would not have wanted to even if I felt more prepared",I am aware of the plan but do not know enough to have an opinion,No opinion,,Faunce,Day 2,IH
10/1/2013 13:58:01,Male,First-year,Grants and loans,Yes,Heterosexual,White,Agnostic,"Physical sciences (incl. math, CS)",No opinion,No opinion,A moderate role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, My own income and savings",Don't know,25-29,Three to five times a week,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 13:58:33,Female,Sophomore,None,No,Heterosexual,Asian,Atheist,"Physical sciences (incl. math, CS)",Somewhat agree,No opinion,A moderate role,"Depression, Anxiety","My parents' income and savings, My own income and savings","Yes, I support converting all bathrooms",I don't intend to get married,,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Somewhat disapprove,"For question 8, person circled between once or twice a week and once or twice a month",J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 13:58:50,Female,Junior,None,No,Heterosexual,Asian,Catholic,Life sciences,Somewhat disagree,No opinion,A small role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting all bathrooms",25-29,Once or twice a week,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,Faunce,Day 2,IH
10/1/2013 13:59:05,Male,First-year,None,No,Heterosexual,Asian,Other religion,"Physical sciences (incl. math, CS)",Somewhat agree,Strongly disapprove,A small role,None of the above,None of the above,"Yes, I support converting some bathrooms",25-29,Once or twice a month,"Yes, and I am or plan to",Somewhat approve,Strongly disapprove,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 14:00:42,Female,Senior,None,,Heterosexual,White,Protestant,"Humanities/arts, Social sciences",Somewhat agree,Somewhat approve,A moderate role,,"Non-University grants and scholarships, My parents' income and savings","No, I do not support converting any bathrooms",,Less than once a month,"Yes, but I am not or do not plan to",Somewhat approve,Somewhat approve,Circled for #7 both 25-29 and 30-34 ,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 14:01:47,Male,Junior,Grants and loans,No,Heterosexual,White,Jewish,"Physical sciences (incl. math, CS)",Somewhat agree,No opinion,A moderate role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",30-34,Three to five times a week,"Yes, and I am or plan to",I have not heard of the strategic plan,No opinion,,J. Walter Wilson: Front/Main Door,Day 2,sjm
10/1/2013 14:01:48,Male,First-year,None,No,Bisexual,White,Jewish,Humanities/arts,Somewhat agree,No opinion,A significant role,None of the above,Non-parental relatives' and friends' contributions,"Yes, I support converting some bathrooms",18-24,Once a day,"No, and I am not sure if I will",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 14:02:30,Male,Sophomore,None,No,Heterosexual,Other,Other religion,"Physical sciences (incl. math, CS)",Somewhat disagree,Somewhat approve,A moderate role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",25-29,Three to five times a week,"Yes, and I am or plan to",Somewhat approve,Somewhat disapprove,,Faunce,Day 2,JL
10/1/2013 14:03:49,Male,Sophomore,None,,Heterosexual,White,Jewish,"Physical sciences (incl. math, CS)",Strongly disagree,No opinion,A moderate role,None of the above,"My parents' income and savings, My own income and savings","Yes, I support converting some bathrooms",Not sure,Once or twice a week,"Yes, and I am or plan to",I am aware of the plan but do not know enough to have an opinion,Somewhat disapprove,"For the varsity sports control question, circled yes and no and wrote ""ivy league rugby"". For #9 wrote CS?",J. Walter Wilson: Side/Back Door,Day 2,KK
10/1/2013 14:04:58,Male,Senior,"Grants, covering some costs",No,Heterosexual,"White, Other",Agnostic,Humanities/arts,Strongly agree,No opinion,A moderate role,None of the above,"University grants and scholarships, Federal loans, My parents' income and savings","Yes, I support converting some bathrooms",25-29,Three to five times a week,"No, and for that reason, I am not or do not plan to",I am aware of the plan but do not know enough to have an opinion,No opinion,,J. Walter Wilson: Side/Back Door,Day 2,KK
