Timestamp,Location,Day,Your initials,,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,First gen,Domestic/Intl,Greek,Q1 Paxson,Q2 Political Fiscal,Q3 Political Fiscal,Q4 Political Comfort,Q5 Alcohol,Q6 Phi Psi,Q7 Sigma,Q8 Inadequacy,Q9 Grad Student Roles,Q10 GS experience,Q11 Lecture laptop,Q12 Lyft/Uber,Notes
3/3/2015 15:42:56,JWW front,Day 1,SB,,Male,First-year,Grants and loans,No,Gay,White,Social sciences,No,Domestic,No,Strongly approve,Very lib,Very lib,Very comfortable,Somewhat approve,No opinion,No opinion,"Yes, about my socioeconomic status","I have had grad students as teaching assistants, Grad students have been mentors (formal or informal) to me",Very positive,'0 minutes',Once a month,
3/3/2015 15:44:37,JWW front,Day 1,SB,,Female,First-year,None,No,Hetero,White,Physical sciences,No,Domestic,Yes,No opinion,Somewhat liberal,Very lib,Very comfortable,Somewhat disapprove,Yes,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students",I have not interacted with grad students,I have not interacted with grad students,'0 minutes',Multiple times a week,
3/3/2015 15:46:53,JWW front,Day 1,SB,,Female,Sophomore,Just loans,No,Hetero,White,Humanities/arts,No,Domestic,No,No opinion,Somewhat cons,Somewhat liberal,Somewhat comfortable,Strongly approve,Yes,Yes,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Neutral,I do not use my laptop in class,Never,
3/3/2015 15:49:19,JWW front,Day 1,SB,,Male,Sophomore,None,Yes,Hetero,"White, Other","Humanities/arts, Social sciences",No,Domestic,No,No opinion,Centrist,Somewhat liberal,Somewhat comfortable,Strongly disapprove,Not familiar enough to answer,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students",I have not interacted with grad students,I have not interacted with grad students,I do not use my laptop in class,Multiple times a week,
3/3/2015 15:52:41,JWW front,Day 1,SB,,Female,Sophomore,Grants and loans,No,Hetero,Hispanic,Humanities/arts,Yes,Domestic,No,Somewhat approve,Very lib,Very lib,Very comfortable,Somewhat approve,Yes,Not familiar enough to answer,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance",I have taken a course taught by a grad student,Very positive,I do not use my laptop in class,,
3/3/2015 15:55:45,JWW front,Day 1,SB,,Female,First-year,None,No,,White,,No,Domestic,No,Somewhat approve,Very lib,Very lib,Somewhat comfortable,Somewhat approve,Yes,Yes,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Somewhat positive,'0 minutes',Never,
3/3/2015 15:58:17,JWW front,Day 1,SB,,Female,Sophomore,Grants and loans,No,Other,White,Life sciences,No,Domestic,No,No opinion,Very lib,Very lib,Somewhat comfortable,Somewhat disapprove,"No, they were too lenient",Yes,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Very positive,'0 minutes',Once a semester,
3/3/2015 16:00:18,JWW front,Day 1,SB,,Female,Sophomore,"Grants, covering some costs",No,Other,Asian,Physical sciences,Yes,Domestic,No,No opinion,Somewhat liberal,Very lib,Somewhat uncomfortable,Somewhat approve,Yes,Yes,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance, Yes, about my socioeconomic status, Yes, about something not listed above",I have had grad students as teaching assistants,Somewhat positive,I do not use my laptop in class,Once a semester,
3/3/2015 19:29:27,JWW front,Day 1,EW,,Female,First-year,None,No,Hetero,White,Physical sciences,No,Domestic,No,No opinion,Somewhat liberal,Very lib,Very comfortable,Somewhat disapprove,No opinion,Yes,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance","I have had grad students as teaching assistants, Grad students have been mentors (formal or informal) to me",Somewhat positive,'10 minutes',Never,
3/3/2015 19:33:40,JWW front,Day 1,EW,,Male,Sophomore,None,No,Hetero,Asian,Physical sciences,No,International,No,Somewhat approve,Somewhat liberal,Somewhat liberal,Somewhat comfortable,Somewhat disapprove,Yes,Yes,"Yes, about something not listed above","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Other",Very positive,'20 minutes',Once a week,
3/3/2015 19:35:50,JWW front,Day 1,EW,,Female,First-year,"Grants, covering some costs",No,Bisexual,Black,Life sciences,No,Domestic,No,No opinion,Centrist,Somewhat liberal,Somewhat uncomfortable,Strongly approve,No opinion,No opinion,"Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance, Yes, about my socioeconomic status","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'10 minutes',Never,
3/3/2015 19:37:34,JWW front,Day 1,EW,,Male,Senior,Just loans,No,Hetero,White,Physical sciences,No,Domestic,Yes,Somewhat approve,Somewhat cons,Somewhat liberal,Somewhat uncomfortable,Strongly disapprove,"No, they were too harsh",No opinion,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me",Very positive,I do not use my laptop in class,Once a month,
3/3/2015 19:45:09,JWW front,Day 1,EW,,Male,Junior,None,No,Other,White,"Humanities/arts, Social sciences",No,International,Yes,Somewhat disapprove,No opinion,Very lib,Very comfortable,Strongly disapprove,Yes,Yes,"Yes, about something not listed above","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'10 minutes',Never,"For financial aid, this person circled ""None"" and wrote ""outside scholarship."""
3/3/2015 19:46:34,JWW front,Day 1,EW,,Female,Sophomore,"Grants, covering all costs",No,Bisexual,Asian,Humanities/arts,No,Domestic,No,No opinion,Somewhat liberal,Somewhat liberal,Somewhat uncomfortable,Somewhat disapprove,Yes,Yes,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Somewhat positive,I do not use my laptop in class,Once a semester,
3/3/2015 19:48:16,JWW front,Day 1,EW,,Male,Sophomore,"Grants, covering some costs",No,Hetero,"White, Asian",Life sciences,No,Domestic,No,Somewhat disapprove,Centrist,Very lib,Somewhat comfortable,Strongly approve,Yes,Yes,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'10 minutes',Never,
3/3/2015 19:51:16,JWW front,Day 1,EW,,Male,First-year,Grants and loans,No,Hetero,Asian,Humanities/arts,No,Domestic,No,Somewhat disapprove,Centrist,Somewhat cons,Somewhat comfortable,Somewhat disapprove,Yes,Yes,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Somewhat positive,I do not use my laptop in class,Once a semester,"For financial aid, this person underlined parts of ""Grants, covering some costs."""
3/3/2015 19:52:40,JWW front,Day 1,EW,,Female,Sophomore,None,No,Hetero,Asian,Physical sciences,No,Domestic,No,Somewhat approve,Centrist,Very lib,Somewhat comfortable,No opinion,Yes,Yes,"Yes, about something not listed above","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me",Somewhat positive,'0 minutes',Once a month,
3/3/2015 19:54:13,JWW front,Day 1,EW,,Female,Senior,"Grants, covering all costs",No,Hetero,Asian,Physical sciences,No,International,No,No opinion,Somewhat liberal,Very lib,Somewhat comfortable,Somewhat approve,Yes,Yes,"Yes, about something not listed above","I have interacted with grad students while doing research, Other",Neutral,'10 minutes',Multiple times a week,
3/3/2015 19:56:11,JWW front,Day 1,EW,,Male,Senior,"Grants, covering all costs",No,Hetero,Asian,Physical sciences,No,International,No,No opinion,No opinion,No opinion,No opinion,Somewhat disapprove,No opinion,No opinion,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research",Very positive,'10 minutes',Multiple times a week,
3/3/2015 19:57:29,JWW front,Day 1,EW,,Female,Sophomore,None,Yes,Hetero,White,Humanities/arts,No,Domestic,No,Strongly approve,Centrist,Very lib,Somewhat comfortable,Somewhat approve,Yes,Not familiar enough to answer,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance",I have had grad students as teaching assistants,Very positive,'10 minutes',Never,
3/3/2015 20:02:01,JWW front,Day 1,EW,,Female,Junior,None,No,Hetero,White,Physical sciences,No,Domestic,No,No opinion,No opinion,No opinion,No opinion,Strongly disapprove,"No, they were too harsh","No, they were too harsh",,I have had grad students as teaching assistants,Very positive,'0 minutes',Never,
3/3/2015 20:03:04,JWW front,Day 1,EW,,Female,Junior,None,No,Hetero,White,Social sciences,No,Domestic,Yes,Somewhat approve,Somewhat cons,Centrist,Somewhat uncomfortable,Strongly disapprove,"No, they were too harsh","No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,I do not use my laptop in class,Multiple times a week,
3/3/2015 20:04:31,JWW front,Day 1,EW,,Male,First-year,Grants and loans,No,Hetero,White,Physical sciences,Yes,Domestic,No,No opinion,Somewhat liberal,Very lib,Very comfortable,Somewhat approve,"No, they were too lenient",Not familiar enough to answer,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life",I have had grad students as teaching assistants,Very positive,'20 minutes',Once a month,
3/3/2015 20:06:06,JWW front,Day 1,EW,,Male,Senior,None,No,Other,White,Social sciences,No,Domestic,Yes,Strongly disapprove,Very lib,Very lib,Somewhat comfortable,Strongly disapprove,Yes,"No, they were too lenient","Yes, about my social life","I have had grad students as teaching assistants, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Somewhat positive,'10 minutes',Once a week,
3/3/2015 20:07:11,JWW front,Day 1,EW,,Male,First-year,None,No,Hetero,Other,Physical sciences,No,Domestic,No,Somewhat approve,Centrist,Very lib,Somewhat comfortable,Somewhat approve,"No, they were too lenient","No, they were too lenient","Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance",I have taken a course taught by a grad student,Somewhat positive,I do not use my laptop in class,Never,
3/3/2015 20:09:09,JWW front,Day 1,EW,,Male,Senior,None,No,Hetero,Asian,Physical sciences,No,International,No,Somewhat approve,Centrist,Somewhat liberal,Very comfortable,Somewhat disapprove,Not familiar enough to answer,Not familiar enough to answer,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student",Somewhat positive,'10 minutes',Once a month,
3/3/2015 20:10:24,JWW front,Day 1,EW,,Female,Sophomore,None,No,Hetero,Asian,"Humanities/arts, Social sciences",No,International,No,Somewhat approve,Somewhat liberal,Very lib,Somewhat comfortable,Somewhat approve,Yes,Yes,"Yes, about my academic ability, Yes, about my social life, Yes, about my sex/love life, Yes, about my appearance","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'0 minutes',Once a month,
3/3/2015 20:11:49,JWW front,Day 1,EW,,Female,Senior,Grants and loans,No,Other,White,Humanities/arts,No,Domestic,No,Strongly disapprove,Very lib,Very lib,Very comfortable,Somewhat disapprove,Yes,Yes,"Yes, about my academic ability, Yes, about my sex/love life, Yes, about my appearance, Yes, about my socioeconomic status","I have had grad students as teaching assistants, Grad students have been mentors (formal or informal) to me",Very positive,I do not use my laptop in class,Once a semester,
3/3/2015 20:13:25,JWW front,Day 1,EW,,Male,First-year,None,No,Gay,White,Social sciences,No,Domestic,No,Somewhat approve,Somewhat cons,Somewhat liberal,Somewhat uncomfortable,Somewhat approve,No opinion,No opinion,"Yes, about my academic ability","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Very positive,'10 minutes',Never,"For Q11, the person wrote ""Less than 5"" next to his circled answer."
3/3/2015 20:15:51,JWW front,Day 1,EW,,Male,Junior,None,No,Hetero,White,Physical sciences,No,Domestic,No,Somewhat disapprove,Somewhat cons,Very lib,Somewhat uncomfortable,Strongly approve,Yes,Yes,"Yes, about my academic ability, Yes, about my social life","I have had grad students as teaching assistants, I have interacted with grad students while doing research",Somewhat positive,'0 minutes',Never,
3/3/2015 20:17:23,JWW front,Day 1,EW,,Female,Senior,None,No,Hetero,Asian,Social sciences,No,International,Yes,,Centrist,Very lib,Somewhat comfortable,Strongly disapprove,"No, they were too harsh",Not familiar enough to answer,"Yes, about something not listed above","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'20 minutes',Multiple times a week,"For Q1, this person circled both ""somewhat approve"" and ""no opinion."" "
3/3/2015 20:18:21,JWW front,Day 1,EW,,Female,Senior,None,No,Hetero,White,Social sciences,No,International,Yes,No opinion,Somewhat liberal,Somewhat liberal,Somewhat uncomfortable,Strongly disapprove,"No, they were too lenient",Yes,"Yes, about my sex/love life",I have not interacted with grad students,Very positive,'20 minutes',Multiple times a week,
3/3/2015 20:21:19,JWW front,Day 1,EW,,Female,Senior,"Grants, covering all costs",No,Other,Hispanic,Physical sciences,Yes,Domestic,Yes,Somewhat disapprove,Somewhat liberal,Somewhat liberal,Somewhat comfortable,Somewhat approve,,Yes,,"I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student",Somewhat positive,'0 minutes',Once a month,"For sexual orientation, this person wrote ""pansexual"" next to their circled answer. For Q6, this person wrote ""No, because I don't think it's effective; should be doing more to change the culture of Greek."" For Q7, this person wrote ""now do more to correct behavior."" For Q8, this person boxed ""inadequate"" in the question and wrote ""versus disadvantaged by things not immediately in my control."" For Q12, this person wrote ""at least"" next to their circled answer. "
3/3/2015 20:22:52,JWW front,Day 1,EW,,Female,First-year,Grants and loans,Yes,Hetero,White,Life sciences,No,Domestic,No,Somewhat approve,Somewhat liberal,Very lib,Somewhat comfortable,Somewhat approve,Yes,Yes,"Yes, about my sex/love life, Yes, about something not listed above","I have had grad students as teaching assistants, I have interacted with grad students while doing research",Neutral,'10 minutes',Once a month,"For Q9, this person crossed out ""doing"" in the second answer he choise and wrote ""trying to do"" next to it. "
3/3/2015 20:24:12,JWW front,Day 1,EW,,Female,Junior,Grants and loans,No,Hetero,"White, Asian, Native Hawaiian/Pacific",Social sciences,No,Domestic,No,No opinion,Somewhat liberal,Very lib,Somewhat comfortable,Somewhat approve,"No, they were too harsh",Yes,"Yes, about my appearance, Yes, about something not listed above","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,'30 minutes',Once a semester,
3/3/2015 20:25:19,JWW front,Day 1,EW,,Male,Junior,None,No,Hetero,White,Social sciences,No,Domestic,No,Somewhat disapprove,Very lib,Very lib,Somewhat comfortable,No opinion,Yes,Yes,"No, I do not feel inadequate relative to other Brown students",I have taken a course taught by a grad student,Somewhat positive,'10 minutes',Once a month,
3/3/2015 20:26:24,JWW front,Day 1,EW,,Male,Sophomore,None,No,Hetero,Asian,Humanities/arts,No,International,No,Somewhat approve,Somewhat liberal,Somewhat liberal,No opinion,Somewhat disapprove,Yes,Not familiar enough to answer,"Yes, about my social life","I have interacted with grad students while doing research, I have taken a course taught by a grad student",Somewhat positive,'30 minutes',Multiple times a week,
3/3/2015 20:28:52,JWW front,Day 1,EW,,Female,,None,No,Hetero,White,Social sciences,No,,No,Strongly disapprove,Very lib,Very lib,Somewhat comfortable,Strongly approve,"No, they were too harsh",Yes,"Yes, about my academic ability",Other,Neutral,'10 minutes',Never,"For Q12, this person wrote ""no smartphone."""
3/3/2015 20:31:07,JWW front,Day 1,EW,,Female,Senior,Just loans,No,Gay,White,Life sciences,No,Domestic,No,,Very lib,Very lib,Somewhat comfortable,Somewhat approve,Not familiar enough to answer,Not familiar enough to answer,"Yes, about my academic ability, Yes, about my socioeconomic status","I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me",Very positive,'10 minutes',Once a semester,"For Q1, this person circled both ""somewhat disapprove"" and ""strongly disapprove."""
3/3/2015 20:32:03,JWW front,Day 1,EW,,Female,First-year,Just loans,Yes,Hetero,White,Social sciences,No,Domestic,No,Somewhat approve,Somewhat cons,Somewhat liberal,Somewhat comfortable,Somewhat disapprove,"No, they were too harsh","No, they were too harsh","Yes, about my academic ability, Yes, about my socioeconomic status",I have had grad students as teaching assistants,Somewhat positive,'10 minutes',Once a week,
3/3/2015 20:34:51,JWW front,Day 1,EW,,Female,Sophomore,"Grants, covering some costs",No,Hetero,Other,Physical sciences,No,International,No,No opinion,Centrist,Very lib,Somewhat uncomfortable,Strongly approve,Yes,Yes,"Yes, about something not listed above",Grad students have been mentors (formal or informal) to me,Neutral,I do not use my laptop in class,Once a month,
3/3/2015 20:36:52,JWW front,Day 1,EW,,Female,Senior,None,No,Hetero,White,Humanities/arts,No,Domestic,No,Somewhat approve,Somewhat cons,Centrist,Somewhat uncomfortable,Somewhat disapprove,Yes,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student",Somewhat positive,I do not use my laptop in class,Multiple times a week,
3/3/2015 20:38:00,JWW front,Day 1,EW,,Female,Senior,None,No,Hetero,White,Physical sciences,No,Domestic,No,No opinion,Centrist,Very lib,Very comfortable,Somewhat disapprove,Yes,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student, Other",Very positive,I do not use my laptop in class,Once a month,
3/3/2015 21:41:13,SciLi,Day 1,DW,,Male,Senior,None,No,Hetero,White,Social sciences,No,International,No,Somewhat approve,Somewhat cons,Very lib,Very comfortable,Somewhat disapprove,"No, they were too harsh",No opinion,"No, I do not feel inadequate relative to other Brown students",I have not interacted with grad students,Neutral,'10 minutes',Never,
3/3/2015 21:43:36,SciLi,Day 1,DW,,Male,Sophomore,None,No,Hetero,White,Physical sciences,No,Domestic,No,Somewhat disapprove,Very lib,Very lib,Very comfortable,Somewhat approve,Not familiar enough to answer,Not familiar enough to answer,"No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Somewhat positive,I do not use my laptop in class,Once a month,
3/3/2015 21:54:29,SciLi,Day 1,DW,,Female,Sophomore,None,No,Hetero,Asian,Social sciences,Yes,Domestic,No,Somewhat disapprove,No opinion,No opinion,No opinion,Strongly disapprove,"No, they were too harsh",No opinion,"Yes, about my academic ability",I have not interacted with grad students,I have not interacted with grad students,'20 minutes',Once a week,
3/3/2015 21:56:01,SciLi,Day 1,DW,,Male,First-year,"Grants, covering some costs",No,Hetero,Asian,Life sciences,Yes,Domestic,No,No opinion,Very lib,Very lib,Somewhat comfortable,Strongly disapprove,"No, they were too harsh",No opinion,,"I have had grad students as teaching assistants, Grad students have been mentors (formal or informal) to me",Somewhat positive,I do not use my laptop in class,Multiple times a week,"Mistake on question 8, ""X"" through answers"
3/3/2015 21:57:07,SciLi,Day 1,DW,,Female,Junior,None,No,Hetero,Asian,Life sciences,No,International,No,No opinion,No opinion,No opinion,No opinion,Somewhat disapprove,No opinion,"No, they were too harsh","Yes, about something not listed above",I have interacted with grad students while doing research,Somewhat positive,'30 minutes',Once a week,
3/3/2015 21:58:49,SciLi,Day 1,DW,,Male,Sophomore,None,No,Hetero,"White, Hispanic",Humanities/arts,No,Domestic,Yes,No opinion,Somewhat liberal,Very lib,Somewhat comfortable,Strongly disapprove,No opinion,Not familiar enough to answer,,"I have had grad students as teaching assistants, I have taken a course taught by a grad student, Other",Very positive,I do not use my laptop in class,Once a month,"No answer for 8, wrote ""friend"" next to ""other"" for 9"
3/3/2015 21:59:45,SciLi,Day 1,DW,,Female,Junior,None,Yes,Hetero,"White, Hispanic",Social sciences,No,Domestic,Yes,Somewhat approve,Somewhat cons,Very lib,No opinion,Somewhat disapprove,Not familiar enough to answer,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students",I have interacted with grad students while doing research,Very positive,'10 minutes',Once a week,
3/3/2015 22:01:12,SciLi,Day 1,DW,,Female,Junior,None,No,Hetero,Black,Humanities/arts,No,International,No,No opinion,No opinion,Very lib,Somewhat comfortable,Somewhat disapprove,"No, they were too harsh","No, they were too lenient","No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Somewhat positive,'30 minutes',Once a month,
3/3/2015 22:02:17,SciLi,Day 1,DW,,Male,Junior,None,Yes,Hetero,Black,Humanities/arts,No,Domestic,Yes,Somewhat disapprove,Very conservative,Centrist,Somewhat uncomfortable,Strongly disapprove,"No, they were too harsh","No, they were too harsh","Yes, about my academic ability",I have not interacted with grad students,I have not interacted with grad students,'10 minutes',Once a week,
3/3/2015 22:10:49,SciLi,Day 1,DW,,Male,First-year,None,No,Hetero,White,"Humanities/arts, Social sciences",No,Domestic,No,Strongly approve,Somewhat liberal,Centrist,Very comfortable,Somewhat disapprove,Not familiar enough to answer,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Very positive,'0 minutes',Once a week,
3/3/2015 22:12:26,SciLi,Day 1,DW,,Female,Junior,Grants and loans,Yes,Hetero,White,Physical sciences,No,Domestic,No,Somewhat approve,Somewhat cons,Somewhat cons,Somewhat comfortable,Strongly disapprove,Not familiar enough to answer,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research, I have taken a course taught by a grad student, Grad students have been mentors (formal or informal) to me",Very positive,'10 minutes',Once a week,
3/3/2015 22:13:30,SciLi,Day 1,DW,,Male,Junior,"Grants, covering all costs",No,Gay,Hispanic,Humanities/arts,Yes,Domestic,No,Strongly disapprove,Somewhat liberal,Very lib,Somewhat comfortable,Strongly disapprove,"No, they were too harsh","No, they were too lenient","Yes, about my academic ability, Yes, about my socioeconomic status",I have not interacted with grad students,Neutral,'20 minutes',Once a month,
3/3/2015 23:24:58,SciLi,Day 1,DW,,Male,Junior,"Grants, covering all costs",No,Hetero,Black,Life sciences,Yes,Domestic,No,Strongly disapprove,Somewhat liberal,Very lib,Very comfortable,Strongly disapprove,"No, they were too harsh","No, they were too harsh","No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me",Very positive,I do not use my laptop in class,Once a month,
3/3/2015 23:26:01,SciLi,Day 1,DW,,Male,Sophomore,Grants and loans,No,Hetero,White,Physical sciences,No,Domestic,No,Strongly approve,Somewhat cons,Somewhat liberal,Very uncomfortable,Somewhat disapprove,Yes,"No, they were too harsh","No, I do not feel inadequate relative to other Brown students",I have had grad students as teaching assistants,Somewhat positive,'0 minutes',Once a week,
3/3/2015 23:27:08,SciLi,Day 1,DW,,Female,Senior,"Grants, covering some costs",No,Hetero,White,"Humanities/arts, Social sciences",Yes,International,No,Somewhat disapprove,Very lib,Very lib,Very comfortable,Somewhat approve,"No, they were too harsh",Yes,"No, I do not feel inadequate relative to other Brown students","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me, Other",Very positive,'10 minutes',Once a month,
3/3/2015 23:28:10,SciLi,Day 1,DW,,Male,Junior,Grants and loans,No,Hetero,White,Life sciences,No,Domestic,No,Strongly approve,Somewhat cons,Somewhat liberal,Somewhat comfortable,Somewhat approve,Yes,"No, they were too harsh","Yes, about my socioeconomic status","I have had grad students as teaching assistants, I have interacted with grad students while doing research, Grad students have been mentors (formal or informal) to me",Very positive,'0 minutes',Never,
3/3/2015 23:29:06,SciLi,Day 1,DW,,Female,First-year,None,No,Hetero,White,"Life sciences, Physical sciences",No,Domestic,No,Somewhat disapprove,Somewhat liberal,Very lib,Very comfortable,No opinion,"No, they were too lenient","No, they were too lenient","Yes, about my social life, Yes, about my appearance",I have had grad students as teaching assistants,Neutral,I do not use my laptop in class,Once a month,
